Col 22	Col 28	phyB 22	phyB 28
1.3175	1.845	1.246	3.477
1.3765	3.233	1.3485	4.8855
1.59	3.266	1.4355	4.38
1.5345	3.477	1.5375	4.4585
1.6865	3.8835	1.8505	5.5295
1.956	4.1875	2.328	6.0265
2.44	4.6355	3.0695	6.328
3.0385	5.2135	3.835	6.5355
3.8565	5.828	4.818	7.1585
4.7495	5.834	6.241	6.695
5.2055	5.777	6.5605	7.071
5.773	5.521	7.3945	6.8035
5.748	5.241	7.6395	6.788
5.658	5.0365	7.587	6.644
5.5155	5.2745	7.497	6.5355
5.32	5.172	6.948	6.394
5.2305	5.166	6.638	6.602
4.827	5.024	6.1665	6.364
4.635	4.723	5.413	5.7375
4.381	4.335	4.821	5.3615
4.0055	3.82	3.99	5.009
3.4755	3.1635	3.2675	4.5485
2.7965	2.7545	2.626	4.4885
2.235	2.363	2.1735	4.4735
